user_id,name,age,gender,height_cm,weight_kg,goal,activity_level,steps_per_day,calories_intake,calories_burned,protein_intake_g,carbs_intake_g,fat_intake_g,water_intake_l,sleep_hours,workout_type,workout_duration_min,diet_type,body_fat_pct,heart_rate_avg,blood_pressure_sys,blood_pressure_dia,stress_level,mood,weekly_progress,trainer_assigned,membership_type,last_active_days,bmi
U0001,User1,49,Male,176.0,99.0,Maintain Fitness,Medium,16102,3107,163,98,345.0,48,2.8,9.4,Yoga,46,Keto,28.3,65,142,71,3,Happy,0.02,No,Free,35,31.96
U0002,User2,29,Female,187.0,79.0,Muscle Gain,Low,9176,3612,721,148,103.0,107,3.0,4.4,Yoga,100,High Protein,26.0,55,105,71,5,Energetic,0.31,Yes,Premium,28,22.59
U0003,User3,35,Male,184.0,94.0,Maintain Fitness,High,15587,3583,623,41,236.0,73,3.9,5.0,Strength,45,Balanced,20.1,86,130,85,1,Happy,-0.43,Yes,Free,5,27.76
U0004,User4,24,Male,153.0,73.0,Maintain Fitness,Low,6529,2298,1191,66,323.0,20,2.1,4.9,Mixed,16,Keto,17.5,71,127,86,3,Stressed,1.35,Yes,Premium,2,31.18
U0005,User5,41,Female,163.0,62.0,Weight Loss,High,9688,1402,417,153,138.0,61,2.4,6.5,Mixed,141,Vegan,18.3,81,133,69,1,Stressed,0.15,No,Free,22,23.34
U0006,User6,29,Male,170.0,77.0,Muscle Gain,Low,12184,2546,176,67,109.0,29,1.8,6.5,Yoga,20,High Protein,22.0,55,134,87,4,Stressed,0.83,No,Free,43,26.64
U0007,User7,27,Male,150.0,62.0,Weight Loss,Medium,8840,2549,720,68,143.0,31,3.3,4.6,Mixed,58,Balanced,22.7,56,112,72,5,Energetic,0.63,Yes,Free,13,27.56
U0008,User8,31,Female,187.0,59.0,Maintain Fitness,Low,2912,1822,1065,62,114.0,98,1.6,8.0,Mixed,76,High Protein,31.6,81,118,74,5,Happy,0.71,Yes,Free,30,16.87
U0009,User9,58,Male,179.0,55.0,Weight Loss,Low,14166,1786,442,103,304.0,55,3.4,4.0,Strength,93,Keto,12.8,61,119,87,3,Happy,1.91,No,Free,15,17.17
U0010,,22,Female,,,Weight Loss,High,11903,3769,635,147,,106,1.9,9.0,,34,Balanced,10.9,69,144,65,2,Tired,-1.71,No,,12,19.59
